studentid,academic_year,att_pct,n_demerits,course_number,term,grade_pct,failed_course
1069,2014,90,9,SCI31,Q1,80,
1069,2014,96,14,SCI31,Q2,84,
1070,2014,93,5,HIST45,Q1,80,
1070,2014,96,10,HIST45,Q2,82,
1070,2014,96,10,SCI31,Q2,90,
1070,2014,93,5,SCI31,Q1,86,
1071,2014,95,26,ENG05,Q1,80,
1071,2014,94,26,ENG05,Q2,50,
1072,2014,94,35,FREN30,Q2,71,
1072,2014,81,28,FREN30,Q1,70,
1083,2014,84,10,HIST45,Q2,79,
1083,2014,90,9,HIST45,Q1,82,
1083,2014,90,9,SPAN40,Q1,93,
1083,2014,84,10,SPAN40,Q2,95,
1085,2014,100,14,MATH33,Q2,85,
1085,2014,100,12,MATH33,Q1,95,
1088,2014,98,13,ENG05,Q1,100,
1088,2014,96,18,ENG05,Q2,125,
1090,2014,98,44,ENG78,Q2,84,
1090,2014,88,41,ENG78,Q1,92,
1094,2014,90,32,ENG40,Q2,63,
1094,2014,86,20,ENG40,Q1,60,
1096,2014,98,14,ENG40,Q1,90,
1096,2014,84,21,ENG40,Q2,90,
1096,2014,84,21,MATH42,Q2,100,
1096,2014,98,14,MATH42,Q1,100,
1105,2014,98,12,HIST41,Q1,97,
1105,2014,98,17,HIST41,Q2,96,
1105,2014,98,17,MATH35,Q2,88,
1105,2014,98,12,MATH35,Q1,87,
1109,2014,92,5,ENG40,Q2,84,
1109,2014,95,11,ENG40,Q1,85,
1115,2014,94,31,SCI31,Q2,75,
1115,2014,83,21,SCI31,Q1,73,
1117,2014,83,37,SCI70,Q1,73,
1117,2014,82,41,SCI70,Q2,82,
1117,2014,82,41,SPAN11,Q2,84,
1117,2014,83,37,SPAN11,Q1,80,
1120,2014,88,34,FREN12,Q2,66,
1120,2014,95,42,FREN12,Q1,80,
1126,2014,95,19,MATH33,Q1,81,
1126,2014,96,25,MATH33,Q2,80,
1127,2014,96,22,ENG05,Q2,73,
604,2014,94,10,ENG78,Q2,78,
604,2014,90,5,ENG78,Q1,89,
668,2014,86,45,ENG05,Q1,50,
668,2014,92,35,ENG05,Q2,89,
668,2014,92,35,GYM10,Q2,90,
668,2014,86,45,GYM10,Q1,91,
681,2014,95,9,MATH33,Q1,88,
681,2014,88,11,MATH33,Q2,91,
811,2014,66,49,HIST20,Q2,50,
811,2014,71,39,HIST20,Q1,72,
818,2014,81,6,ENG05,Q1,50,
818,2014,86,17,ENG05,Q2,50,
1047,2014,62,12,ENG10,Q2,50,
1047,2014,83,33,ENG10,Q1,85,
1047,2014,83,33,SPAN11,Q1,89,
1047,2014,62,12,SPAN11,Q2,52,
1050,2014,92,7,MATH42,Q2,100,
1050,2014,98,9,MATH42,Q1,100,
1050,2014,98,9,SCI41,Q1,84,
1050,2014,92,7,SCI41,Q2,85,
1053,2014,100,30,ENG30,Q1,72,
1053,2014,100,25,ENG30,Q2,64,
1054,2014,94,16,ENG05,Q2,50,
1054,2014,95,13,ENG05,Q1,50,
1058,2014,78,13,ENG40,Q2,73,
1058,2014,86,8,ENG40,Q1,80,
1058,2014,86,8,MATH33,Q1,82,
1058,2014,78,13,MATH33,Q2,79,
1058,2014,78,13,SCI30,Q2,80,
1058,2014,86,8,SCI30,Q1,75,
1061,2014,90,38,ENG30,Q2,70,
1061,2014,95,25,ENG30,Q1,73,
1061,2014,95,25,HIST30,Q1,76,
1061,2014,90,38,HIST30,Q2,78,
1072,2014,81,28,ENG30,Q1,90,
